ID;UF;LON;LAT;ANNUAL
708;RS;-559.490;-307.005;4753
709;RS;-558.490;-307.005;4750
710;RS;-557.490;-307.005;4719
711;RS;-556.490;-307.005;4694
712;RS;-555.490;-307.005;4675
713;RS;-554.490;-307.005;4646
714;RS;-553.490;-307.005;4625
715;RS;-552.490;-307.005;4619
716;RS;-551.490;-307.005;4629
717;RS;-550.490;-307.005;4632
718;RS;-549.490;-307.005;4643
719;RS;-548.490;-307.005;4645
720;RS;-547.490;-307.005;4632
721;RS;-546.490;-307.005;4627
722;RS;-545.490;-307.005;4633
723;RS;-544.490;-307.005;4624
724;RS;-543.490;-307.005;4621
725;RS;-542.490;-307.005;4624
726;RS;-541.490;-307.005;4625
727;RS;-540.490;-307.005;4601
728;RS;-539.490;-307.005;4584
729;RS;-538.490;-307.005;4546
730;RS;-537.490;-307.005;4526
731;RS;-536.490;-307.005;4518
732;RS;-535.490;-307.005;4507
733;RS;-534.490;-307.005;4492
734;RS;-533.490;-307.005;4493
735;RS;-532.490;-307.005;4500
736;RS;-531.490;-307.005;4509
737;RS;-530.490;-307.005;4494
738;RS;-529.490;-307.005;4453
739;RS;-528.490;-307.005;4447
740;RS;-527.490;-307.005;4436
741;RS;-526.490;-307.005;4417
742;RS;-525.490;-307.005;4397
743;RS;-524.490;-307.005;4371
744;RS;-523.490;-307.005;4343
745;RS;-522.490;-307.005;4343
746;RS;-521.490;-307.005;4322
747;RS;-520.490;-307.005;4297
748;RS;-519.490;-307.005;4286
749;RS;-518.490;-307.005;4247
750;RS;-517.490;-307.005;4240
751;RS;-516.490;-307.005;4276
752;RS;-515.490;-307.005;4323
753;RS;-514.490;-307.005;4388
754;RS;-513.490;-307.005;4454
755;RS;-512.490;-307.005;4524
756;RS;-511.490;-307.005;4564
757;RS;-510.490;-307.005;4575
758;RS;-509.490;-307.005;4577
759;RS;-508.490;-307.005;4569
760;RS;-507.490;-307.005;4546
761;RS;-506.490;-307.005;4483
762;RS;-505.490;-307.005;4441
763;RS;-504.490;-307.005;4384
764;RS;-562.490;-306.005;4760
765;RS;-561.490;-306.005;4755
766;RS;-560.490;-306.005;4758
767;RS;-559.490;-306.005;4754
768;RS;-558.490;-306.005;4741
769;RS;-557.490;-306.005;4707
770;RS;-556.490;-306.005;4709
